品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
起亚K3, 2013款, 1.6L, 手动GLS,,,,,2013, 9.0万公里, 到店服务,急售,9.8,0,3.7
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 3.0万公里, 到店服务,严选车,7.4,1,8.77
大众, 宝来, 2012款, 1.6L, 手动舒适型,,,,2012, 5.6万公里, 到店服务,准新车,23.9,0,4.24
比亚迪G5, 2014款, 1.5TI, 手动尊贵型,,,,,2016, 3.3万公里, 到店服务,急售,19.5,0,3.78
本田, 艾力绅, 2016款, 2.4L, 经典版,,,,2017, 4.2万公里, 到店服务,,18.2,0,20.31
东南, V3菱悦, 2015款, 1.5L, 手动风采版,,,,2015, 5.6万公里, 到店服务,超值,52.8,1,2.98
大众, 宝来, 2014款, 1.6L, 手动时尚型,,,,2014, 8.3万公里, 到店服务,,12.5,1,4.54
雪佛兰, 科鲁兹, 2015款, 1.5L, 经典, SL, MT,,2015, 2.0万公里, 到店服务,急售,15.2,1,4.44
宝马X3, 2014款, xDrive20i, X设计套装(进口),,,,,2014, 6.7万公里, 到店服务,准新车,11.2,0,24.3
丰田, YARiS, L, 致炫, 2016款, 改款, 1.5GS, CVT锐动版,2016, 1.4万公里, 到店服务,严选车,25.3,0,6.79
大众, 高尔夫, 2015款, 1.4TSI, 自动豪华型,,,,2015, 3.5万公里, 到店服务,急售,13.7,0,9.31
雪佛兰, 科鲁兹, 2015款, 1.5L, 手动精英版,,,,2015, 6.9万公里, 到店服务,急售准新车,13.8,1,5.13
宝骏510, 2017款, 1.5L, 手动豪华型,,,,,2017, 3.3万公里, 到店服务,,22.7,0,4.66
现代, 全新胜达, 2013款, 2.4L, 自动两驱智能型,,,,2014, 14.2万公里, 到店服务,,64.7,0,8.96
大众, 朗行, 2017款, 1.6L, 手动风尚版,,,,2018, 1.2万公里, 到店服务,,26,0,7.41
东风风行, 风行SX6, 2016款, 1.6L, 手动尊享型,,,,2016, 4.1万公里, 到店服务,准新车,34.3,1,4.33
众泰T700, 2017款, 2.0T, 自动尊贵型,,,,,2018, 1.6万公里, 到店服务,,14.4,0,8.86
奥迪A4L, 2018款, 30周年年型,30, TFSI, 进取型,,,2018, 2.5万公里, 到店服务,,7.5,0,21.24
MINI, 2014款, 2.0T, COOPER, S, Excitement,,,2015, 5.2万公里, 到店服务,准新车,27.9,0,17.1
马自达, 昂克赛拉, 2017款, 三厢, 1.5L, 自动豪华型, 国V,,2017, 2.0万公里, 到店服务,,27.1,0,9.99
三菱, 翼神, 2013款, 风尚版, 1.6L, 手动豪华型,,,2014, 3.0万公里, 到店服务,,8.2,0,4.96
大众, 凌渡, 2017款, 230TSI, DSG风尚版,,,,2017, 4.1万公里, 到店服务,,22,0,10.25
日产, 楼兰, 2017款, 2.5L, XL, 两驱智尚版,,,2017, 0.4万公里, 到店服务,准新车,43.7,0,19.47
长安CS35, 2016款, 1.6L, 自动豪华型, 国IV,,,,2016, 2.7万公里, 到店服务,,13,0,4.68
宝马X1, 2016款, sDrive20Li, 豪华型,,,,,2017, 4.1万公里, 到店服务,急售,15.6,0,21.5
大众, 朗行, 2013款, 1.6L, 自动舒适型,,,,2013, 4.0万公里, 到店服务,急售,12.3,1,6.13
起亚K5, 2012款, 2.0L, 自动DLX,,,,,2013, 12.7万公里, 到店服务,急售,52.3,1,7.23
哈弗H2s, 2018款, 蓝标, 1.5T, 双离合豪华型,,,,2018, 0.5万公里, 到店服务,急售,73.3,0,8.06
奔驰E级, 2014款, 改款, E,300, L,,,2014, 8.5万公里, 到店服务,,7.6,0,25.57
长安CS15, 2016款, 1.5L, 手动豪华版,,,,,2016, 4.5万公里, 到店服务,,47,0,3.18
宝马3系, 2015款, 316i, 运动设计套装,,,,,2015, 4.0万公里, 到店服务,,26,0,17.15
奥迪Q5, 2012款, 2.0TFSI, 舒适型,,,,,2012, 7.1万公里, 到店服务,,46.6,1,17.01
日产, 天籁, 2019款, 2.0L, XL, Upper, 智行版,,2019, 0.6万公里, 到店服务,急售,62.7,0,16.9
大众, 朗逸, 2017款, 1.6L, 手动舒适版,,,,2017, 3.0万公里, 到店服务,,15.5,1,7.32
别克, 昂科拉, 2016款, 18T, 自动两驱都市领先型,,,,2016, 4.4万公里, 到店服务,,10.1,0,7.8
路虎, 发现神行, 2018款, 240PS, HSE版,,,,2017, 0.5万公里, 到店服务,超值急售,12.7,1,26.61
大众, 帕萨特, 2016款, 280TSI, DSG尊荣版,,,,2016, 4.6万公里, 到店服务,急售,47.4,0,12.74
长安CS35, 2016款, 1.6L, 手动豪华型, 国V,,,,2016, 1.5万公里, 到店服务,严选车,23.9,1,4.4
雪佛兰, 2016款, 赛欧3, 1.3L, 手动舒适天窗版,,,,2016, 2.1万公里, 到店服务,急售,36.8,1,3.75
大众, 帕萨特, 2017款, 330TSI, DSG尊荣版,,,,2017, 3.1万公里, 到店服务,,25.5,1,15.39
Jeep, 自由侠, 2016款, 1.4T, 自动劲能版,,,,2017, 2.4万公里, 到店服务,,34.2,1,9.76
奥迪A6L, 2015款, TFSI, 百万纪念智领型,,,,,2015, 3.0万公里, 到店服务,准新车,38.1,0,23.42
路虎, 发现神行, 2017款, 2.0T, SE,,,,2017, 3.6万公里, 到店服务,急售,30.6,0,24.94
别克GL8, 2017款, 25S, 豪华型, 国V,,,,2018, 3.2万公里, 到店服务,急售,25.2,0,21.54
大众POLO, 2014款, 1.6L, Cross, POLO, 自动,,,2014, 4.6万公里, 到店服务,急售,6.8,0,6.23
别克, 凯越, 2013款, 1.5L, 手动尊享型,,,,2014, 2.4万公里, 到店服务,,49.9,1,4.11
大众, 速腾, 2015款, 230TSI, 自动豪华型,,,,2015, 3.6万公里, 到店服务,,12.3,1,10.51
宝马3系, 2015款, 320Li, 超悦版时尚型,,,,,2015, 5.2万公里, 到店服务,急售,21.7,0,17
斯柯达, 昕锐, 2019款, 1.5L, 自动舒适版,,,,2018, 0.4万公里,,,39.9,0,6.5
MG6, 2017款, 20T, 自动Trophy尊享互联网版,,,,,2017, 3.4万公里,,急售,13,0,7.98
斯柯达Yeti, 2014款, 1.4TSI, DSG极地版,,,,,2014, 5.1万公里, 到店服务,急售,7.8,0,8.09
五菱荣光, 2017款, 1.5L加长基本型,,,,,,2017, 4.4万公里, 到店服务,急售,36.2,0,3.6
Smart, smart, forfour, 2016款, 1.0L, 52千瓦灵动版,,,2016, 6.1万公里, 到店服务,急售,39.1,0,8.3
别克, 英朗, 2015款, 15N, 自动精英型,,,,2015, 6.1万公里, 到店服务,,22.3,0,6
荣威950, 2012款, 2.0L, 舒适版,,,,,2013, 6.2万公里,,,30.9,0,5
传祺GA3S视界, 2014款, 1.6L, 手动豪华ESP版,,,,,2015, 7.7万公里,,准新车,29.3,0,2.5
别克, 凯越, 2011款, 1.6LE-AT,,,,,2010, 5.8万公里,,急售,27,0,2
宝马3系, 2011款, 325i敞篷轿跑版(进口),,,,,,2012, 11.0万公里, 到店服务,,8.2,0,18.2
三菱, 翼神, 2013款, 风尚版, 1.6L, 手动豪华型,,,2014, 7.8万公里,,,22,0,4.6
Smart, smart, fortwo, 2018款, 1.0L, 52千瓦硬顶灵动版, 国V,,2017, 1.0万公里, 到店服务,准新车,43.7,0,8.34
马自达, 昂克赛拉, 2017款, 两厢, 2.0L, 自动豪华型, 国V,,2019, 0.2万公里, 到店服务,,13,0,12.1
大众, 高尔夫, 2018款, 280TSI, 自动R-Line型,,,,2018, 2.2万公里, 到店服务,急售,15.6,0,14.06
大众POLO, 2018款, 1.5L, 自动安驾型,,,,,2019, 0.6万公里, 到店服务,急售,12.3,0,8
丰田, 卡罗拉, 2013款, 特装版, 1.6L, 自动炫酷型GL,,,2013, 8.2万公里, 到店服务,急售,52.3,0,6.78
比亚迪S7, 2016款, 2.0T, 自动尊贵型,,,,,2016, 3.0万公里, 到店服务,急售,73.3,0,6
大众POLO, 2013款, 1.4L, 自动舒适版,,,,,2013, 6.0万公里, 到店服务,,7.6,0,5.61
起亚, 狮跑, 2012款, 2.0L, 手动两驱版GL,,,,2012, 7.6万公里,,,47,0,3.98
哈弗M6, 2018款, 改款, 1.5T, DCT两驱精英型,,,,2019, 0.7万公里, 到店服务,,26,0,7.7
标致3008, 2013款, 2.0L, 自动经典版,,,,,2014, 8.0万公里, 到店服务,,46.6,0,6.77
标致307, 2012款, 两厢, 1.6L, 手动舒适版,,,,2013, 6.5万公里, 到店服务,急售,62.7,0,3.18
MG5, 2014款, 1.5T, 自动豪华型,,,,,2014, 5.2万公里,,,15.5,0,4.17
起亚, 佳乐, 2013款, 2.0L, 7座自动标准版, 国V(进口),,,2015, 4.9万公里, 到店服务,,10.1,0,8.34
五菱宏光, 2018款, 1.5L, 经典款S基本型,,,,,2019, 1.6万公里,,超值急售,12.7,0,4
奔驰SLK级, 2011款, SLK,200, 时尚型(进口),,,,2016, 5.4万公里, 到店服务,急售,47.4,0,28.5
雪铁龙C3-XR, 2015款, 1.6THP, 自动旗舰型,,,,,2016, 8.9万公里,,严选车,23.9,0,7.3
奥迪A1, 2013款,30, TFSI, Sportback, Urban(进口),,,2012, 4.5万公里, 到店服务,急售,36.8,0,9
长城, 风骏5, 2017款, 2.4L欧洲版汽油两驱进取型小双排4G69S4N,,,,,2018, 3.0万公里,,,25.5,0,6.25
本田, 杰德, 2013款, 1.8L, 自动舒适版, 5座,,,2014, 6.7万公里, 到店服务,,34.2,0,8.7
奔驰GLK级, 2014款, GLK,260, 4MATIC, 动感型,,,2014, 6.8万公里, 到店服务,准新车,38.1,0,21.6
雪佛兰, 科鲁兹, 2013款, 1.6L, SE, MT,,,2013, 8.8万公里,,急售,30.6,0,3.2
福特, 锐界, 2015款, 2.7T, GTDi, 四驱运动型, 7座,,2015, 8.6万公里, 到店服务,急售,25.2,0,20.3
现代, 飞思, 2012款, 1.6T, 自动豪华版(进口),,,,2013, 7.1万公里, 到店服务,急售,6.8,0,8
奔驰E级, 2014款, E,200, 轿跑版(进口),,,,2014, 9.4万公里, 到店服务,,49.9,0,23.8
纳智捷, 优6, SUV, 2014款, 2.0T, 智尊型,,,2014, 11.1万公里,,,12.3,0,6.05
标致4008, 2013款, 2.0L, 四驱时尚型(进口),,,,,2014, 13.6万公里,,急售,21.7,0,8
大众, T-ROC探歌, 2018款, 280TSI, DSG四驱豪华型, 国V,,,2018, 0.4万公里, 到店服务,,39.9,0,17
现代, 悦动, 2011款, 1.6L, 自动舒适型,,,,2012, 9.1万公里, 到店服务,急售,13,0,3.95
哈弗H6, 2016款, 升级版, 1.5T, 自动两驱精英型,,,,2016, 7.1万公里,,急售,7.8,0,6.1
大众, 帕萨特, 2011款, 1.8TSI, DSG御尊版,,,,2012, 12.6万公里, 到店服务,急售,36.2,0,8.88
福特, 福克斯, 2020款, 两厢, EcoBoost,180, 自动锋潮型,,2019, 200公里,,急售,39.1,0,12.8
宝马5系, 2014款, 535i, 设计套装型(进口),,,,,2013, 10.0万公里, 到店服务,,22.3,0,27
日产, 骐达, 2011款, 1.6L, CVT智能型,,,,2014, 5.6万公里, 到店服务,,30.9,0,6.98
马自达CX-7, 2014款, 2.5L, 2WD, 时尚版,,,,2015, 6.2万公里, 到店服务,准新车,29.3,0,9.38
五菱荣光V, 2016款, 1.5L实用型,,,,,,2017, 0.9万公里, 到店服务,急售,27,0,3.5
马自达3星骋, 2015款, 两厢, 2.0L, 自动运动型,,,,2015, 7.9万公里, 到店服务,超值严选车,9.6,0,7.3
别克, 君威, 2014款, 2.0L, 精英时尚型,,,,2014, 8.3万公里, 到店服务,急售准新车严选车,16.8,0,8.49
日产, 天籁, 2013款, 2.0L, XL舒适版,,,,2014, 5.0万公里,,超值准新车严选车,15.8,0,9.9
马自达, 昂克赛拉, 2017款, 三厢, 1.5L, 自动豪华型, 国V,,2017, 2.5万公里, 到店服务,超值严选车,13.3,0,10
汉腾X7, 2016款, 2.0T, DCT尊享型,,,,,2017, 1.4万公里, 到店服务,超值严选车,9.3,0,7.5
马自达3, 2012款, 1.6L, 自动经典标准型,,,,,2012, 8.0万公里,,急售严选车,21,0,4.85
铃木, 雨燕, 2013款, 1.5L, 自动20周年限量版,,,,2014, 7.6万公里, 到店服务,严选车,17.5,0,4.75
君马汽车, 君马S70, 2018款, 1.5T, 自动舒适型, 7座,,,2019, 300公里,,严选车,34.6,0,6.4
雪佛兰, 科鲁兹, 2013款, 1.8L, SE, AT,,,2013, 5.7万公里,,严选车,8.9,0,6.12
雪佛兰, 科沃兹, 2019款,320, 自动欣悦版,,,,2019, 0.5万公里, 到店服务,严选车,13.8,0,7.3
Smart, smart, fortwo, 2011款,1, MHD, 硬顶标准版,,2011, 9.5万公里, 到店服务,严选车,11.3,0,4.36
雪佛兰, 迈锐宝, 2014款, 1.6T, 自动舒适版,,,,2015, 6.4万公里, 到店服务,严选车,14.1,0,8.13
标致308, 2014款, 乐享版, 经典, 1.6L, 自动优尚型,,,2016, 1.4万公里, 到店服务,超值急售严选车,10.3,0,6.5
别克, 凯越, 2011款, 1.6LX-AT,,,,,2012, 5.8万公里, 到店服务,准新车严选车,11.2,0,3.65
本田, 锋范, 2017款, 1.5L, CVT舒适版,,,,2018, 2.0万公里, 到店服务,超值严选车,16.6,0,8
大众POLO, 2016款, 1.6L, 自动舒适型,,,,,2017, 0.6万公里, 到店服务,严选车,8.5,0,8.58
雪铁龙C5, 2013款, 2.0L, 自动尊享型,,,,,2014, 12.7万公里, 到店服务,严选车,16.4,0,6.88
雪佛兰, 科鲁兹, 2009款, 1.6L, SE, MT,,,2010, 8.6万公里,,严选车,16.3,0,2.55
日产, 奇骏, 2019款, 2.0L, CVT智联舒适版, 2WD,,,2019, 1.2万公里,,超值严选车,12.6,0,15.5
斯柯达, 晶锐, 2012款, 1.4L, 手动晶致版,,,,2013, 2.4万公里,,严选车,10.4,0,2.9
马自达, 昂克赛拉, 2014款, 两厢, 2.0L, 自动旗舰型,,,2015, 5.5万公里, 到店服务,严选车,15.6,0,9.8
现代, 全新胜达, 2017款, 2.4L, 自动两驱智能型, 5座,,,2018, 2.5万公里, 到店服务,准新车严选车,17.6,0,14.5
宝马1系, 2012款, 116i, 领先型(进口),,,,,2012, 9.4万公里, 到店服务,严选车,13.3,0,9.89
标致3008, 2013款, 2.0L, 自动经典版,,,,,2014, 11.1万公里,,超值严选车,8.4,0,6.5
宝骏730, 2014款, 1.5L, 手动标准型, 7座,,,,2014, 7.0万公里,,严选车,13.4,0,3.65
MINI, 2014款, 1.5T, COOPER, Fun,,,,2015, 3.8万公里, 到店服务,严选车,12.5,0,14.2
别克, 昂科威, 2016款, 20T, 两驱精英型,,,,2016, 3.9万公里,,严选车,8,0,13.55
起亚K3, 2013款, 1.6L, 自动GLS,,,,,2013, 5.6万公里,,严选车,6.6,0,6
别克, 凯越, 2013款, 1.5L, 手动尊享型,,,,2014, 7.1万公里,,严选车,13.3,0,4.38
MINI, 2012款, 1.6L, COOPER, Baker, Street,,,2013, 3.4万公里, 到店服务,超值严选车,27.9,0,12.8
大众, 朗逸, 2017款, 1.6L, 自动风尚版,,,,2017, 1.0万公里,,严选车,15.3,0,8
马自达6, 2013款, 2.0L, 自动时尚型,,,,,2015, 5.2万公里, 到店服务,严选车,51.5,0,7.9
奥迪A4L, 2018款, 30周年年型,40, TFSI, 时尚型,,,2017, 2.7万公里,,超值严选车,10.5,0,24
奥迪A4L, 2019款,40, TFSI, 进取型, 国V,,,2019, 1.2万公里, 到店服务,严选车,11.2,0,24.9
日产, 奇骏, 2010款, 2.5L, CVT旗舰版, 4WD,,,2011, 5.0万公里, 到店服务,严选车,12.6,0,8.86
宝马7系, 2011款, 730Li典雅型(进口),,,,,,2012, 9.5万公里, 到店服务,严选车,8.3,0,29.9
雷克萨斯NX, 2015款,200, 全驱, 锋尚版,,,,2015, 3.0万公里, 到店服务,准新车严选车,15.1,0,25
北汽绅宝, 绅宝X35, 2016款, 1.5L, 自动豪华版,,,,2016, 3.3万公里,,严选车,13,0,4
别克, 英朗, 2013款, XT, 1.6L, 自动时尚版,,,2013, 5.2万公里,,严选车,29.3,0,5.5
奥迪Q5, 2010款, 3.2FSI, 运动版(进口),,,,,2010, 8.0万公里, 到店服务,严选车,12.1,0,16.75
丰田, 普拉多, 2010款, 4.0L, 自动TX-L,,,,2012, 14.5万公里, 到店服务,严选车,9.9,0,33.8
日产, 阳光, 2011款, 1.5XE, CVT舒适版,,,,2013, 6.8万公里, 到店服务,严选车,20,0,4.4
菲亚特, 菲翔, 2012款, 1.4T, 自动悦享版,,,,2014, 7.5万公里,,严选车,13.5,0,4.5
宝马3系, 2019款, 320Li, 时尚型,,,,,2018, 1.2万公里,,严选车,10.8,0,25.5
宝马3系, 2014款, 320Li, 豪华设计套装,,,,,2014, 4.9万公里, 到店服务,严选车,13.3,0,20.42
奔驰B级, 2012款, B, 180(进口),,,,,2013, 12.2万公里, 到店服务,严选车,15.6,0,11.46
本田, 奥德赛, 2017款, 2.4L, 豪华版,,,,2017, 5.2万公里, 到店服务,超值严选车,11.1,0,20.8
奥迪A6L, 2014款, TFSI, 标准型,,,,,2015, 4.7万公里, 到店服务,严选车,8.2,0,26
MINI, 2011款, 1.6L, ONE,,,,,2012, 7.2万公里, 到店服务,严选车,7.1,0,9.8
别克, 威朗, 2018款, 三厢, 15S, 自动领先型,,,2018, 0.7万公里, 到店服务,超值严选车,14.2,0,9.68
大众, 2018款, 途安L, 280TSI, 自动风尚版, 7座,,,2017, 4.4万公里, 到店服务,严选车,15.5,0,12.9
大众, 帕萨特, 2014款, 1.8TSI, DSG御尊版,,,,2015, 6.9万公里, 到店服务,严选车,13.7,0,13.8
现代, 悦动, 2011款, 1.6L, 自动舒适型,,,,2014, 6.5万公里, 到店服务,严选车,8.4,0,5
传祺GS3, 2017款, 150N, 手动精英版,,,,,2018, 0.7万公里,,超值严选车,10.2,0,6
东风风行, 菱智, 2015款, M5, Q7, 2.0L, 7座长轴舒适型,,2015, 2.8万公里, 到店服务,超值严选车,16.3,0,4.2
起亚, 秀尔, 2013款, 1.6L, MT, GL,,,2015, 2.0万公里, 到店服务,严选车,14.7,0,4.18
奥迪Q5, 2016款,40, TFSI, 技术型,,,,2015, 4.2万公里, 到店服务,严选车,7.3,0,24.86
福特, 福克斯, 2012款, 三厢, 1.6L, 自动舒适型,,,2013, 6.7万公里,,准新车严选车,15.8,0,4.4
别克, 昂科拉, 2014款, 1.4T, 手动两驱都市进取型,,,,2014, 7.3万公里, 到店服务,准新车严选车,15.8,1,5.45
荣威RX5, 2016款, 30T, 四驱自动互联网智尊版,,,,,2017, 3.6万公里, 到店服务,严选车,6.2,0,10.5
宝马5系, 2014款, 525Li, 豪华设计套装,,,,,2015, 12.8万公里, 到店服务,严选车,7.8,0,28.8
Jeep, 自由光, 2016款, 2.4L, 专业版,,,,2017, 3.1万公里, 到店服务,严选车,15.2,1,14.48
吉利, 博瑞, 2015款, 1.8T, 舒适型,,,,2016, 8.0万公里,,严选车,7.4,0,7
雪佛兰, 爱唯欧, 2011款, 三厢, 1.4L, MT, SE,,2013, 6.9万公里, 到店服务,严选车,17.3,0,2.82
本田, 雅阁, 2016款, 2.4L, 智睿版,,,,2017, 1.3万公里, 到店服务,严选车,16.3,0,16.92
雪佛兰, 科帕奇, 2017款, 2.4L, 四驱旗舰版, 7座,,,2017, 4.1万公里, 到店服务,准新车严选车,29.9,1,11.15
雪佛兰, 科鲁兹, 2015款, 1.5L, 经典, SE, AT,,2015, 7.2万公里,,超值严选车,12.4,0,5.6
MINI, Countryman, 2013款, 1.6T, COOPER, ALL4, Excitement,,2014, 6.7万公里, 到店服务,严选车,8.7,0,16.8
大众桑塔纳, 2013款, 1.6L, 手动风尚版,,,,,2013, 2.9万公里,,严选车,13.9,0,4.2
北汽幻速H3F, 2016款, H3F, 1.5L, 手动尊贵型,,,,2017, 3.9万公里, 到店服务,严选车,13,0,3.95
福特, 翼虎, 2018款, EcoBoost,245, 四驱豪翼型,,,2018, 2.0万公里, 到店服务,严选车,18.3,0,16.8
马自达6, 2012款, 2.0L, 自动时尚型,,,,,2013, 2.1万公里,,严选车,28.9,0,8.08
起亚K5, 2015款, 2.0L, 自动GL,,,,,2016, 4.2万公里, 到店服务,严选车,16.9,0,9.5
奔驰GLC级, 2016款, GLC,300, 4MATIC, 动感型,,,2016, 6.3万公里, 到店服务,严选车,21.3,0,31.8
Smart, smart, fortwo, 2012款,1, MHD, 硬顶标准版,,2015, 9.2万公里, 到店服务,准新车严选车,15.6,0,6.18
吉利, 博越, 2016款, 1.8TD, 自动智慧型,,,,2017, 3.1万公里,,严选车,8.6,0,9.68
现代, 悦动, 2017款, 1.6L, 自动悦值版GLS,,,,2018, 2.9万公里, 到店服务,严选车,10.1,0,7.8
大众, 迈腾, 2013款, 1.8TSI, 豪华型,,,,2013, 5.6万公里, 到店服务,严选车,22.3,0,12.23
众泰T600, 2015款, 2.0T, 自动尊贵型,,,,,2016, 8.7万公里,,严选车,10.4,0,7.05
别克, 英朗, 2018款, 15T, 双离合精英型, 国V,,,2018, 400公里,,超值严选车,4.8,0,8.8
大众, 帕萨特, 2013款, 1.8TSI, DSG政府采购版,,,,2016, 4.2万公里, 到店服务,严选车,8.3,0,13.6
宝马X3, 2011款, xDrive28i, 豪华型(进口),,,,,2012, 11.7万公里, 到店服务,准新车严选车,15.2,0,18.75
大众, 帕萨特, 2013款, 1.8TSI, DSG御尊版,,,,2014, 7.1万公里, 到店服务,严选车,12.4,0,11.9
一汽, 佳宝V80, 佳宝v80, 1.3L, 手动,,,,2015, 1.3万公里,,准新车严选车,24,0,1.5
奔驰C级, 2019款, C,180, L, 时尚型运动版,,,2019, 0.4万公里,,严选车,4.7,0,28.4
雪佛兰, 迈锐宝, 2017款, 1.5T, 自动豪华版,,,,2016, 5.5万公里, 到店服务,严选车,22.8,1,9.62
福特, 福克斯, 2012款, 三厢, 1.6L, 手动风尚型,,,2014, 5.7万公里,,严选车,9.8,0,5
力帆, 迈威, 2016款, 1.5L, 自动智享型,,,,2016, 12.0万公里,,严选车,21.7,0,4
奔驰CLA级, 2018款, CLA,200, 动感型(进口),,,,2018, 1.8万公里, 到店服务,严选车,52.3,0,24.9
雪佛兰, 迈锐宝, 2014款, 2.0L, 自动豪华版,,,,2014, 6.7万公里, 到店服务,严选车,28.9,1,7.75
大众, 迈腾, 2017款, 380TSI, DSG, 豪华型,,,2017, 3.6万公里, 到店服务,严选车,15.7,0,17.75
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 3.2万公里, 到店服务,严选车,15.5,1,8.76
北京汽车E系列, 2012款, 两厢, 1.5L, 自动乐尚版,,,,2014, 3.8万公里,,严选车,28.2,0,3
福特, 蒙迪欧, 2013款, 2.0L, GTDi200时尚型,,,,2016, 4.8万公里, 到店服务,严选车,15.7,0,13.28
沃尔沃S90, 2019款, T5, 智逸版,,,,,2019, 2.2万公里, 到店服务,严选车,7.6,0,29.58
现代, 领动, 2016款, 1.6L, 自动智炫·精英型,,,,2017, 5.3万公里, 到店服务,严选车,14.5,0,8.3
哈弗H6, Coupe, 2017款, 红标, 2.0T, 自动两驱精英型,,,2017, 3.7万公里,,严选车,38,0,9.6
大众, 宝来, 2015款, 质惠版, 1.6L, 手动舒适型,,,2016, 3.1万公里, 到店服务,严选车,6.5,0,7.27
奥迪Q5, 2013款,40, TFSI, 舒适型,,,,2014, 8.0万公里, 到店服务,严选车,25.7,0,20.84
奔驰E级, 2010款, E,300, L, 时尚型,,,2012, 9.7万公里,,严选车,54.1,0,16.8
现代, 瑞纳, 2010款, 三厢, 1.4L, 手动舒适型GS,,,2013, 7.1万公里, 到店服务,严选车,8.1,1,3.11
奇瑞, 艾瑞泽5, 2016款, 1.5L, 手动领锐版,,,,2016, 2.6万公里,,急售,5,0,4.8
奥迪A6L, 2012款,30, FSI, 技术型,,,,2012, 11.9万公里, 到店服务,急售准新车,6.9,0,20
福特, 翼虎, 2017款, EcoBoost,180, 四驱尊翼型,,,2017, 0.9万公里, 到店服务,超值急售,18.2,1,14.03
现代, 全新胜达, 2017款, 2.4L, 自动两驱智能型, 5座,,,2017, 5.0万公里, 到店服务,,19.9,0,14.38
奔驰E级, 2015款, 改款, E,200, L, 运动型,,2016, 4.9万公里, 到店服务,急售,12.6,0,29.5
奔驰GLA级AMG, 2016款, AMG, GLA,45, 4MATIC,,,2016, 3.8万公里,,,15.8,0,32
Smart, smart, fortwo, 2018款, 0.9T, 66千瓦硬顶先锋版, 国V,,2017, 0.8万公里, 到店服务,,49.4,0,11.8
奔腾B50, 2013款, 1.6L, 手动舒适型,,,,,2015, 5.9万公里,,,13.9,0,3.45
比亚迪, 宋, 2016款, 1.5TI, 手动尊贵型,,,,2016, 1.7万公里,,,29.1,0,5.5
奔驰E级, 2018款, E,200, L, 运动型,,,2017, 4.1万公里, 到店服务,超值急售,63,0,38.33
大众, 迈腾, 2013款, 1.8TSI, 领先型,,,,2013, 8.2万公里, 到店服务,急售,16.5,0,9.69
宝马X1, 2014款, sDrive18i, 运动设计套装,,,,,2014, 6.5万公里, 到店服务,急售准新车,21.7,0,15.94
大众, 迈腾, 2017款, 330TSI, DSG, 豪华型,,,2017, 4.2万公里, 到店服务,,16.2,0,17
奔驰C级, 2017款, C,200, 运动版,,,,2017, 3.1万公里, 到店服务,,58.9,0,25.5
奔驰C级, 2018款, C,200, L, 运动版,,,2018, 1.2万公里, 到店服务,急售,12.9,0,30.3
奔驰B级, 2015款, B,200, 时尚型(进口),,,,2016, 5.3万公里, 到店服务,,9.3,0,16.9
大众, 途观, 2017款, 300TSI, 自动两驱丝绸之路舒适版,,,,2017, 1.8万公里, 到店服务,急售,14.7,0,15.32
海马M3, 2014款, 1.5L, 手动精英型,,,,,2015, 5.6万公里, 到店服务,,5.1,0,3.2
雷克萨斯IS, 2011款,250, 炫动版,,,,,2013, 7.6万公里, 到店服务,,31.3,0,16.8
奇瑞, 瑞虎5, 2014款, 2.0L, CVT家悦版,,,,2015, 5.6万公里,,,13.5,0,6
奥迪A1, 2014款,30, TFSI, 时尚型(进口),,,,2014, 6.7万公里, 到店服务,,16.5,0,9.3
沃尔沃S80L, 2011款, 2.0T, 智尚版,,,,,2012, 12.3万公里,,急售,11.5,0,10
福特, 福克斯, 2012款, 三厢, 1.6L, 手动舒适型,,,2012, 5.7万公里, 到店服务,急售,13.8,0,4.3
东风风行, 菱智, 2016款, M3, 1.6L, 7座舒适型, 国IV,,2016, 2.8万公里, 到店服务,急售准新车,18.4,0,5.05
奥迪Q3, 2015款,35, TFSI, quattro, 技术型,,,2015, 4.2万公里, 到店服务,,13.6,0,16.2
凯迪拉克XT5, 2016款, 25T, 技术型,,,,,2017, 5.0万公里, 到店服务,,11.9,0,22.8
MINI, 2014款, 1.2T, ONE,,,,,2015, 5.2万公里, 到店服务,超值急售准新车,14,0,13.16
MINI, 2016款, 1.5T, COOPER, SEVEN,,,,2017, 3.1万公里, 到店服务,急售,9.1,0,20.49
福特, 锐界, 2018款, EcoBoost,245, 两驱豪锐型, 7座,,2018, 1.1万公里, 到店服务,,11.3,0,22.92
丰田, 汉兰达, 2012款, 2.7L, 两驱5座精英版,,,,2013, 7.6万公里, 到店服务,急售,13,0,15.32
马自达, 昂克赛拉, 2016款, 三厢, 1.5L, 自动舒适型,,,2016, 3.2万公里, 到店服务,准新车,29.3,1,8.76
北京汽车E系列, 2012款, 两厢, 1.5L, 自动乐尚版,,,,2014, 3.8万公里,,急售,43.1,0,3
福特, 蒙迪欧, 2013款, 2.0L, GTDi200时尚型,,,,2016, 4.8万公里, 到店服务,,22,0,13.28
